Code,Year,life_expectancy,gdp_per_capita,health_spending_pct_gdp,DTP3,MCV1,gini,share_below_6_85,neonatal,tuberculosis,hiv_aids,neoplasms,cardiovascular,gdp_log,neonatal_log,tuberculosis_log,hiv_aids_log
ALB,2002,75.8899,5636.1846,2.5886693,98.0,96.0,0.3173898,52.090965,19.69,0.57,0.06,101.78,262.6,3.750985208966851,3.029650491757452,0.4510756193602167,0.058268908123975775
ALB,2005,76.6208,6531.797,2.6653178,98.0,97.0,0.30595654,40.42843,15.28,0.49,0.07,112.74,306.03,3.8150326789504554,2.789937360574394,0.3987761199573678,0.06765864847381481
ALB,2008,77.6529,8615.24,2.271255,99.0,98.0,0.2998467,33.43185,12.2,0.37,0.07,115.97,313.84,3.9352673803590714,2.580216829592325,0.31481073984003355,0.06765864847381481
ALB,2012,78.064,11106.769,2.4551888,99.0,98.0,0.28960484,36.66775,9.24,0.38,0.07,132.82,358.97,4.045587739449413,2.3263016196113617,0.32208349916911333,0.06765864847381481
ALB,2014,78.4075,11079.809,2.5936172,98.0,98.0,0.34598896,38.743828,7.51,0.38,0.07,142.68,388.29,4.044532273843584,2.1412419425852827,0.32208349916911333,0.06765864847381481
ALB,2015,78.6441,11644.792,2.7313483,99.0,97.0,0.32753733,26.154316,6.87,0.38,0.07,148.79,405.5,4.066131735544895,2.063058062429312,0.32208349916911333,0.06765864847381481
ALB,2016,78.8602,11674.589,2.8037052,98.0,96.0,0.33736297,25.41383,6.42,0.38,0.07,152.49,415.93,4.067241600315327,2.004179057179289,0.32208349916911333,0.06765864847381481
ALB,2017,79.0473,12126.523,2.6750717,99.0,96.0,0.33055663,25.540997,6.07,0.38,0.07,155.85,425.95,4.0837362948172995,1.9558604799084813,0.32208349916911333,0.06765864847381481
ALB,2018,79.1838,12267.312,2.8249946,99.0,94.0,0.30148283,18.16096,5.8,0.38,0.07,159.32,436.35,4.088749411019105,1.916922612182061,0.32208349916911333,0.06765864847381481
DZA,2011,74.1234,15523.892,3.719759,95.0,95.0,0.27615732,36.57495,33.02,1.34,0.91,49.42,207.01,4.191000612683849,3.5269485869677157,0.8501509293696101,0.6471032420585385
AGO,2000,46.0236,2228.5913,1.1109874,31.0,32.0,0.5195689,67.21182,114.34,110.62,29.54,40.22,96.05,3.3480304307820705,4.747884288187267,4.715100245360287,3.4190372997904865
AGO,2008,54.6327,6923.387,2.1384366,49.0,48.0,0.42715514,69.063484,93.69,78.88,50.46,38.44,84.83,3.840318608264189,4.550608397995409,4.380525508547614,3.940804806853598
AGO,2018,62.1438,7588.662,1.0687841,63.0,50.0,0.5127211,77.9747,59.48,37.88,53.45,39.11,78.69,3.880165209724063,4.102312731871278,3.6604799795922385,3.9972828493789696
ARG,2000,73.926,14332.45,4.4989514,83.0,91.0,0.51063955,26.296562,16.57,2.81,4.71,180.89,247.16,4.156320435375234,2.866192902199006,1.3376291891386096,1.742219023667919
ARG,2001,74.1864,13321.491,4.5921025,83.0,89.0,0.53343105,31.067228,15.95,2.68,4.7,181.37,244.01,4.12455283570769,2.830267833826459,1.3029127521808397,1.7404661748405046
ARG,2002,74.408,11287.75,4.033505,93.0,95.0,0.5379376,44.379776,16.35,2.63,4.81,183.24,244.69,4.052607382140444,2.8535925063928684,1.2892326482767593,1.7595805708638197
ARG,2003,74.0801,12115.066,3.7721567,96.0,97.0,0.5089716,29.556793,16.1,2.52,4.89,184.4,243.92,4.0833257844130815,2.8390784635086144,1.2584609896100056,1.7732559976634952
ARG,2004,74.8549,13113.357,3.7443836,98.0,99.0,0.48377034,24.730253,14.85,2.33,4.5,182.03,235.06,4.1177138846684445,2.7631695003232895,1.2029723039923526,1.7047480922384253
ARG,2005,75.1388,14113.8545,3.9133997,98.0,98.0,0.47707355,20.780716,13.11,2.2,4.13,180.44,227.92,4.149645635970948,2.6468837658647226,1.1631508098056809,1.6351056591826783
ARG,2006,75.4326,15259.149,4.018989,91.0,97.0,0.4634608,16.79179,12.3,2.1,4.27,180.81,225.72,4.183530313768944,2.5877640352277083,1.1314021114911006,1.6620303625532709
ARG,2007,75.0057,16769.285,4.254916,91.0,94.0,0.46173558,15.401621,12.63,2.09,4.32,183.66,228.92,4.224514545779946,2.612273245708441,1.128171090909654,1.6714733033535532
ARG,2008,75.6411,17920.453,4.5085316,93.0,96.0,0.4487679,14.07133,12.5,1.97,4.24,180.47,220.47,4.253348983725309,2.6026896854443837,1.0885619528146082,1.6563214983329508
ARG,2009,75.9359,16903.314,5.669824,94.0,96.0,0.43654197,12.770348,11.87,1.92,4.21,179.94,219.17,4.227971859099866,2.554899021608035,1.0715836162801904,1.6505798557652755
ARG,2010,75.7208,19190.504,5.568346,94.0,95.0,0.43583217,11.24585,11.61,1.84,4.0,180.45,222.18,4.283086380756554,2.534490149976828,1.0438040521731147,1.6094379124341003
ARG,2011,76.124,21360.64,5.6811833,91.0,95.0,0.42645282,9.013186,11.08,1.81,3.86,180.43,221.6,4.329614260730324,2.4915511925066687,1.0331844833456545,1.5810384379124023
ARG,2012,76.4669,21611.586,6.134864,91.0,94.0,0.41326198,8.497762,10.27,1.77,4.11,180.18,219.7,4.3346866394317685,2.422144328051685,1.0188473201992472,1.631199404215613
ARG,2013,76.4908,21429.314,6.220419,94.0,94.0,0.40945444,8.460084,10.05,1.77,4.1,179.87,219.13,4.3310082685321145,2.402430427963762,1.0188473201992472,1.62924053973028
