Entity,Code,Year,Share below $1 a day,Share below $2.15 a day,Share below $3.65 a day,Share below $6.85 a day,Share below $10 a day,Share below $20 a day,Share below $30 a day,Share below $40 a day,Number below $1 a day,Number below $2.15 a day,Number below $3.65 a day,Number below $6.85 a day,Number below $10 a day,Number below $20 a day,Number below $30 a day,Number below $40 a day,40% of median - share of population below poverty line,50% of median - share of population below poverty line,60% of median - share of population below poverty line,40% of median - total number of people below poverty line,50% of median - total number of people below poverty line,60% of median - total number of people below poverty line,Mean income or consumption per day,Median income or consumption per day,Threshold income or consumption per day marking the poorest decile,Threshold income or consumption per day marking the richest decile,mld,gini,polarization,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile2_thr,decile3_thr,decile4_thr,decile5_thr,decile6_thr,decile7_thr,decile8_thr,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_gap_index_40_median,poverty_gap_index_50_median,poverty_gap_index_60_median,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,income_gap_ratio_100,income_gap_ratio_1000,income_gap_ratio_2000,income_gap_ratio_215,income_gap_ratio_3000,income_gap_ratio_365,income_gap_ratio_4000,income_gap_ratio_685,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_215,poverty_gap_index_3000,poverty_gap_index_365,poverty_gap_index_4000,poverty_gap_index_685,avg_shortfall_100,avg_shortfall_1000,avg_shortfall_2000,avg_shortfall_215,avg_shortfall_3000,avg_shortfall_365,avg_shortfall_4000,avg_shortfall_685,total_shortfall_100,total_shortfall_1000,total_shortfall_2000,total_shortfall_215,total_shortfall_3000,total_shortfall_365,total_shortfall_4000,total_shortfall_685,decile1_avg,decile2_avg,decile3_avg,decile4_avg,decile5_avg,decile6_avg,decile7_avg,decile8_avg,decile9_avg,decile10_avg,bottom50_share,middle40_share,palma_ratio,s80_s20_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio
Albania,ALB,2002,0.046370625,1.0926474,11.388324,52.090965,76.70505,96.52886,98.94813,99.762024,1415,33337,347459,1589301,2340279,2945105,3018917,3043749,3.2122831,8.406373,16.020554,98007,256479,488789,8.108229,6.6881413,3.5018895,13.990763,0.1648116,0.3173898,0.26898164,3.4940019,4.859444,5.842059,6.738204,7.6531024,8.839459,10.228584,11.984428,14.925079,25.435638,4.370816,5.093828,5.8582616,6.6871114,7.6624665,8.913951,10.652152,17.54355,18.595226,20.580732,0.5635481,1.5631825,3.297149,0.469335,0.62183756,0.825881,45998.117,159488.27,403681.56,43.873215,41.387882,63.13764,17.337124,74.09592,19.966413,80.0545,31.078033,0.020347556,31.7466,60.94604,0.18943487,73.31651,2.2738404,79.863976,16.188852,0.43873215,4.138788,12.627528,0.37274817,22.228775,0.72877413,32.021797,2.1288452,620.80597,9685919.0,37189396.0,12426.306,67106824.0,253219.12,97466320.0,3383376.0,2.8330166,3.9401484,4.736875,5.4634895,6.2053103,7.167236,8.2935705,9.717249,12.101596,20.623796,28.586811,45.97755,1.2150564,4.831625,3.995204,2.0921981,1.9095724
Albania,ALB,2005,0.0,0.5910857,7.2893047,40.42843,68.45309,95.40567,98.85736,99.54694,0,17800,219516,1217497,2061456,2873129,2977077,2997843,4.0950017,8.991532,16.67577,123320,270779,502189,9.165975,7.7997913,3.983527,15.433521,0.15441276,0.30595654,0.25452867,3.4825358,4.920109,5.9772825,6.9211826,7.9881587,9.037068,10.372144,12.126408,14.833943,24.341167,5.0393324,5.9497,6.793219,7.7962003,8.827788,10.28045,12.068591,16.876627,20.329166,21.973644,0.69109565,1.8279048,3.664277,0.52653664,0.7928163,1.028339,64932.5,214678.0,516420.56,,37.084915,58.72428,15.179814,70.71589,19.209354,77.61802,28.443775,0.0,25.38577,56.026287,0.08972335,69.90787,1.4002254,77.26636,11.4993725,,3.7084913,11.744856,0.32636604,21.214766,0.7011415,31.047207,1.9483986,0.0,7644891.5,33744490.0,5809.3154,63157990.0,153911.77,93074660.0,2372169.5,3.1920836,4.5097594,5.478762,6.3439384,7.321926,8.283354,9.507081,11.115035,13.596755,22.311052,29.289268,46.369564,1.1427183,4.6622357,3.8743358,1.9796209,1.9571099
Albania,ALB,2008,0.0,0.19992515,3.9026127,33.43185,62.76887,94.58283,98.50923,99.34445,0,5892,115022,985342,1849996,2787653,2903376,2927993,2.118535,7.2277145,14.137155,62440,213023,416666,10.038169,8.4002,4.598464,16.435902,0.14889339,0.2998467,0.24731112,3.7336252,5.136781,6.0884724,6.9835844,7.9120784,8.924132,10.298735,11.929075,14.535205,24.458311,5.6678367,6.554397,7.4853826,8.395616,9.562263,11.150203,12.968081,15.433302,16.52257,19.235218,0.3269605,1.1942017,2.7193103,0.51857126,0.6939645,0.9694781,32379.59,147830.39,403948.53,,33.673496,55.58146,19.82939,68.4628,13.493116,75.83295,24.404856,0.0,21.136477,52.570515,0.0396411,67.44217,0.5265829,75.33583,8.1589985,,3.3673496,11.116292,0.4263319,20.53884,0.49249876,30.33318,1.6717327,0.0,6229583.0,30988364.0,2511.9475,59631972.0,56648.19,88815336.0,1647228.4,3.7478762,5.156388,6.111711,7.0102396,7.942278,8.958195,10.338044,11.974607,14.590684,24.551666,29.854542,45.68715,1.1146566,4.3959107,3.5742157,1.9576768,1.8257434
Albania,ALB,2012,0.024100756,0.6206909,4.805442,36.66775,65.062386,95.52016,99.07353,99.742485,699,18003,139377,1063512,1887070,2770468,2873530,2892932,3.5105217,7.7531123,14.795234,101819,224871,429121,9.517231,8.240385,4.410012,16.009024,0.13841707,0.28960484,0.24998792,3.659527,5.1930947,6.143644,7.0307255,8.083832,9.256943,10.515455,12.293301,14.889137,22.93434,5.4278827,6.244149,7.1602106,8.240385,9.336886,10.757146,12.696908,19.90841,20.938734,21.696527,0.69888765,1.623401,3.2100513,0.65621185,0.8627162,1.0727264,66814.836,193999.86,460329.44,16.88353,34.89383,56.50223,21.087643,69.22244,21.463728,76.50663,25.82715,0.00406895,22.702759,53.971027,0.13089253,68.58113,1.0314263,76.309616,9.470237,0.1688353,3.4893832,11.3004465,0.45338434,20.766733,0.7834261,30.602654,1.7691598,118.01587,6584710.0,31307524.0,8162.2783,59673830.0,109191.58,88531390.0,1881522.8,3.4828563,4.9423885,5.847048,6.6913037,7.6935697,8.810046,10.007802,11.699819,14.170336,21.82714,30.110823,46.954838,1.0411927,4.2725735,3.6301544,1.9427519,1.868563
Albania,ALB,2014,0.0,1.0231007,9.675968,38.743828,60.97816,91.58505,98.09888,99.50539,0,29558,279549,1119349,1761723,2645987,2834178,2874814,7.5302234,14.375828,22.218988,217556,415333,641930,10.14131,8.295376,3.6729488,19.057009,0.19866157,0.34598896,0.3243097,2.853004,4.173767,5.222913,6.3115983,7.5123734,8.932859,10.593702,12.724538,16.13092,25.544321,4.778565,5.816744,7.0193214,8.295376,9.8354025,11.715442,14.168049,19.121283,22.750904,25.801025,1.4398752,3.270634,5.7327294,0.63447285,0.94363654,1.2841752,138033.38,391923.38,824350.56,,40.190544,57.09052,13.557806,67.98602,21.440683,75.1263,32.354916,0.0,24.507462,52.286373,0.13870792,66.69351,2.0745955,74.75471,12.535527,,4.0190544,11.418104,0.29149285,20.395807,0.78258497,30.050518,2.2163117,0.0,7080460.5,30212154.0,8615.945,57805348.0,218770.84,86389650.0,2480826.2,2.8933196,4.2327466,5.2967176,6.4007874,7.6185308,9.05909,10.743402,12.904348,16.358868,25.905287,26.073656,48.382023,1.3762153,5.9309235,5.1884766,2.297305,2.2585056
Albania,ALB,2015,0.0,0.120621055,3.698998,26.154316,50.61879,86.81441,96.22996,98.85491,0,3475,106557,753428,1458177,2500865,2772099,2847716,4.952405,10.764287,18.761019,142664,310087,540449,12.055373,9.8873825,4.7910833,22.062527,0.17549548,0.32753733,0.30036378,3.154479,4.546798,5.566422,6.579465,7.6200233,8.886237,10.474084,12.523295,15.869892,24.779308,6.1059666,7.325498,8.511317,9.8873825,11.596767,13.746332,16.661911,19.114466,21.483591,23.257418,0.9466251,2.3125541,4.3633265,0.75596815,1.0620824,1.3797299,107849.44,329337.94,745673.6,,33.368446,51.633232,4.65446,63.138523,17.970337,70.85177,25.911,0.0,16.890705,44.82508,0.0056146877,60.758167,0.66472155,70.04044,6.776843,,3.336845,10.326647,0.10007089,18.941557,0.65591735,28.340706,1.7749034,0.0,4865710.5,25825548.0,347.74634,52507870.0,69892.586,80706280.0,1337262.0,3.8028421,5.4813347,6.7105293,7.9317904,9.186222,10.71269,12.626899,15.0973,19.131746,29.872381,27.467186,47.753506,1.2485063,5.2782416,4.604914,2.231382,2.063705
Albania,ALB,2016,0.0,0.13930316,4.6666355,25.41383,48.276623,84.987495,95.69477,98.50471,0,4006,134217,730927,1388484,2444326,2752278,2833095,6.572461,12.718995,20.065971,189031,365811,577118,12.541093,10.2823715,4.7039146,23.168722,0.18758059,0.33736297,0.31438035,2.969406,4.3505154,5.4224176,6.423767,7.524432,8.896663,10.520496,12.703985,16.138762,25.049555,6.1599703,7.4553943,8.648065,10.2823715,12.103096,14.4057865,17.82389,18.656887,22.545164,25.524162,1.226219,2.867517,5.121674,0.7673481,1.1590887,1.5746934,145052.58,424007.4,908783.94,,34.28824,51.04687,7.5706344,62.08046,14.506735,69.9522,27.029715,0.0,16.553198,43.383453,0.010544818,59.407745,0.67697567,68.90622,6.869282,,3.4288237,10.209373,0.16276865,18.624138,0.52949584,27.980883,1.8515354,0.0,4760867.0,24955038.0,652.0512,51258804.0,71067.34,79272500.0,1353337.2,3.7239594,5.456022,6.8003044,8.056106,9.4364605,11.157388,13.193852,15.932185,20.23977,31.41488,26.690538,48.259907,1.3069715,5.6268797,4.925413,2.253247,2.1859179
Albania,ALB,2017,0.0,0.39256993,3.6266825,25.540997,48.67047,85.1776,96.03344,98.86871,0,11280,104211,733910,1398525,2447542,2759480,2840950,5.2713103,11.629809,19.14936,151469,334178,550249,12.411219,10.187669,4.9050775,22.721241,0.17990847,0.33055663,0.30852225,3.0905285,4.4599423,5.477605,6.508123,7.604976,8.908397,10.539262,12.717886,16.080849,24.61243,6.208563,7.416532,8.733054,10.187446,11.970809,14.320671,17.554668,21.152702,21.46405,24.385498,1.1150259,2.4962313,4.6696696,0.86198694,1.0933431,1.4905882,130564.3,365371.22,820194.7,,33.549503,51.12028,9.884753,62.102844,20.297743,69.9697,25.743172,0.0,16.3287,43.543034,0.038803443,59.639507,0.7361336,69.17815,6.5750666,,3.3549502,10.224056,0.21252221,18.630854,0.7408677,27.98788,1.7634072,0.0,4691981.5,25023808.0,2397.2505,51411468.0,77206.56,79512170.0,1294182.2,3.8357227,5.535332,6.798375,8.0773735,9.438702,11.056406,13.080508,15.784447,19.958294,30.547024,27.141174,48.246395,1.2598372,5.389502,4.632188,2.2303178,2.0769184
Albania,ALB,2018,0.0,0.04810705,2.7303748,18.16096,39.372112,83.79993,96.276825,99.00125,0,1379,78263,520561,1128553,2402021,2759656,2837748,6.1173778,11.773786,18.648508,175347,337481,534536,13.316507,11.6399765,5.476367,23.323376,0.15240441,0.30148283,0.26593012,3.1698256,4.768175,5.97204,7.073262,8.135162,9.345278,10.747296,12.59714,15.449506,22.742311,7.197381,8.705178,10.097402,11.6399765,13.293339,15.376027,18.44751,21.109074,23.753893,26.16232,1.2913215,2.7967327,4.878879,0.9828365,1.3824737,1.8271726,172337.44,466558.62,976689.56,,30.633017,46.54786,11.714787,58.67913,17.086567,67.538055,25.450985,0.0,12.060868,39.007072,0.005635929,56.494408,0.46652845,66.86352,4.62214,,3.0633016,9.309572,0.25186792,17.603739,0.6236597,27.015223,1.7433925,0.0,3457098.2,22361788.0,347.32587,48580264.0,48809.477,76662390.0,907542.1,4.221101,6.3495436,7.9526715,9.419115,10.833195,12.444647,14.3116455,16.774992,20.573345,30.284817,29.118465,48.13922,1.0838289,4.811264,4.258914,2.0037305,2.1254923
Albania,ALB,2019,0.0,0.0,1.1501286,14.901863,38.459755,83.263596,95.23524,98.49858,0,0,32827,425328,1097715,2376502,2718195,2811338,3.6192389,8.627423,15.90862,103300,246243,454062,13.749831,11.611524,6.0241885,23.889235,0.1474588,0.30115768,0.26233387,3.5337648,4.9755716,6.0139036,6.9449344,7.9357224,9.0391245,10.381864,12.316567,15.223934,23.634615,7.5972853,8.929593,10.207404,11.607263,13.228971,15.43441,18.562803,16.781603,19.278854,21.391129,0.6073663,1.6632674,3.4030304,0.77943987,1.1192844,1.4903016,80516.14,275615.94,676689.3,,27.300016,45.74572,,58.33915,14.180762,66.94442,21.416641,0.0,10.49952,38.08953,0.0,55.559414,0.16309766,65.939316,3.191481,,2.7300017,9.149144,,17.501745,0.51759785,26.77777,1.4670398,0.0,2996763.8,21742960.0,0.0,47573156.0,16991.186,75281360.0,623973.1,4.858867,6.8413267,8.269015,9.549168,10.911484,12.428643,14.274888,16.935072,20.932652,32.497196,29.403896,46.96149,1.100914,4.566578,3.9655523,2.058128,1.9267762
Algeria,DZA,2011,0.08932984,0.45546755,4.019208,36.57495,67.96516,95.8093,98.967766,99.81485,32644,166444,1468761,13365782,24836875,35012113,36166326,36475881,2.2495422,6.2465453,13.239776,822062,2282709,4838283,9.225503,8.04364,4.3666134,15.061846,0.12533133,0.27615732,0.22604558,4.0460215,5.3145604,6.3584423,7.306455,8.239473,9.2319145,10.385396,11.898996,14.356383,22.862358,5.406719,6.311133,7.1677933,8.04364,9.013708,10.199637,11.879405,21.289366,18.868402,19.476803,0.47891304,1.1786234,2.5786853,0.684976,0.7588532,0.9399864,563092.75,1732241.1,4547920.0,81.342995,33.907276,57.68399,33.60123,70.16427,19.496868,77.08872,24.85003,0.07266293,23.045134,55.266632,0.15304272,69.44001,0.78361976,76.94599,9.088886,0.81342995,3.3907275,11.5367985,0.7224265,21.04928,0.7116357,30.835487,1.7022271,26553.607,84215080.0,403927680.0,120243.555,761275140.0,1045222.8,1124751600.0,22751596.0,3.7326581,4.9029493,5.865983,6.7405725,7.601329,8.516906,9.58105,10.977422,13.244486,21.091675,31.264954,45.87269,0.99291563,3.976114,3.4493198,1.8725162,1.8420775
